brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Tênis Masculino Olympikus Index 3 Corrida Original Esportivo,237,49,180,49,,
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,95,4.2,(69)
SPARK,Tênis Para Treino Academia Caminhada Corrida Leve E Macio,77,50,7,53,,
OLYMPIKUS,Tenis Masculino Olympikus Dynamic,249,99,229,75,4.8,(276)
MIZUNO,Tenis Masculino Mizuno Space Confortável E Macio - Original,385,57,273,75,4.8,(184)
FILA,Tênis Fila Float Prime Masculino Adulto Confortável Original,344,90,253,65,4.7,(357)
OLDSEN,Tenis Masculino Spyder Casual Academia Caminhada Promoçao,78,99,64,22,4.4,(18)
FILA,Fila Running Progress Masculino Adultos,597,85,316,86,4.7,(175)
UNDER ARMOUR,Tenis Masculino Under Armour Tribase Cross Se - Original,697,85,488,49,,
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,49,98,54,4.5,(2055)
HAYMAX,Tênis Skatista Masculino Feminino Old School Envio Imediato,99,99,89,99,4.5,(762)
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,139,90,13,60,4.4,(4024)
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,71,01,4.5,(3339)
,Sapatenis Masculino Kit 2 Pares Tenis Leve  Sapato Conforto,139,90,78,34,3.2,(24)
ON RUNNING,Tênis On Running Cloud Blue Denim,599,90,59,99,,
BAD FISH,Tênis Bad Fish Track Sapatilha Air Mesh Adventure Pesca,199,99,19,44,4.9,(37)
,Tênis Masculino Esportivo Caminhada Academia Corrida - It,89,90,78,21,4.5,(355)
FILA,Tênis Fila Progress Masculino Preto,359,90,35,99,,
OLYMPIKUS,Tenis Olympikus Masculino Index 3 Original Lançamento + Nf,199,99,159,99,4.7,(153)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,159,90,4.5,(5420)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.7,(131)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,72,58,4.6,(3021)
OLYMPIKUS,Olympikus Corre 3 Masculino Adultos,555,44,499,90,4.5,(126)
OLYMPIKUS,Tenis Masculino Olympikus Diffuse Hypersox Macio - Original,377,85,233,70,4.7,(68)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(710)
FILA,Tênis Fila Recovery Masculino Academia - Fitness,299,99,33,33,4.6,(204)
FILA,Tenis Fila Trend 3.0 Masculino-preto/branco,277,29,221,83,,
MIZUNO,Mizuno Wave Rider 26 Masculino Adultos,1.099,90,723,90,,
FILA,Tenis Masculino Fila Progress Confortal Leve - Original,597,85,316,86,4.8,(59)
WM,Tenis Feminino Masculino Olimp Lançamento Super Promoção ,99,99,9,72,,
OLYMPIKUS,Tênis Olympikus Triunfo 2 Marinho E Preto - Original,239,99,179,99,5.0,(1)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,137,65,4.4,(286)
OLYMPIKUS,Tênis Olympikus Corre 3 Unissex,499,99,50,,4.9,(275)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(96)
OLYMPIKUS,Tenis Olympikus Masculino Soma,219,55,179,91,4.9,(12)
FILA,Fila Racer Spider Masculino Adultos,311,92,275,66,4.9,(130)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,149,90,114,71,4.4,(466)
